index,orig,reasonIndex,reason,resultIndex,result,category1,category2
83,#1 雌雄同体の線虫，雄の線虫ともに，減数分裂（meiosis）はL3からL4幼虫期にかけて始まります。 #2 雌雄同体の線虫では，L4の後期までに精子形成を終え， #3 ここでスイッチが切り替わって， #4 卵子形成に入ります。 #5 精子は，前後2つの貯精嚢にそれぞれ約150個ずつ，合計約300個が蓄えられます。 #6 卵子形成はほとんど一生続くと思われていますが， #7 精子には限りがありますので， #8 自家受精で生まれてくる子供の数（産子数）は約300匹です。 #9 一方，雄の線虫は，一生を通じて精子をつくり続けます。 #10 精子は精嚢に蓄えられ， #11 交尾時に輸精管を通して総排出腔（肛門）から放出されます。 #12 したがって，卵子を一生つくり続ける雌雄同体の線虫に，精子を一生つくり続ける雄の線虫を交配させれば， #13 雌雄同体の線虫は命のあるかぎり #14 子供を産みつづけるはずです。 #15 実際，産子数が1000匹という記録があります。,#7,精子には限りがありますので，,#8,自家受精で生まれてくる子供の数は約300匹です。,explicit,原因・理由  
84,#1 生殖細胞は，遠腕部で同数分裂（mitosis， #2 体細胞分裂ともいいます），遠腕部から曲腕部にかけて #3 減数分裂が進み， #4 配偶子を形成します。 #5 雄の線虫では，成熟した精母細胞が精嚢に入り， #6 精子となって #7 射精を待ちます。 #8 雌雄同体の線虫では，曲腕部を少しすぎたあたりから卵母細胞が形成されはじめ， #9 輸卵管を通過しながら成熟します。 #10 成熟して #11 減数分裂のディアキネシス期に停止した状態にある卵母細胞は，貯精嚢で待機する精子と融合します。,#6,精子となって,#7,射精を待ちます。,implicit,目的  
86,#1 線虫の胚発生は，前半部を細胞増殖期（細胞分裂期ともいいます。20℃で7時間，25℃で5時間です），後半部を器官形成期（形態形成期ともいいます。20℃で9時間，25℃で6.5時間です）に分けると考えやすくなります（図1）。 #2 細胞増殖期は，細胞分裂（初期胚では，分割，割卵ということもあります）によって，文字通り細胞の数がふえつづけ， #3 孵化のときに見られるほとんどの細胞が出そろいます。 #4 この間， #5 細胞の形態的な分化はあまり見られず， #6 未分化のままでいます。 #7 細胞は活発に移動して， #8 それぞれの細胞が特定の位置を占めていきます。 #9 つまり，この時期は，見た目には，未分化で移動しやすい細胞が自身の空間を確保するときです（彫刻家なら彫像の全体を荒削りする段階です）。,#7,細胞は活発に移動して，,#8,それぞれの細胞が特定の位置を占めていきます。,implicit,原因・理由  
87,#1 また，200細胞期をすぎたころから，厳格に定められた運命によって特定の細胞が死んでいく，プログラム細胞死も見られるようになります。 #2 したがって，この時期を，位相空間形成期とよぶこともできると思います。 #3 ちなみに，動物の形づくりでもっともだいじなできごとといわれる原腸形成は，胚の細胞数が26個になったときに始まります（24細胞期と28細胞期を開始期とする研究者もおり，この章ではその中間の26細胞期を採りました）。,#1,また，200細胞期をすぎたころから，厳格に定められた運命によって特定の細胞が死んでいく，プログラム細胞死も見られるようになります。,#2,したがって，この時期を，位相空間形成期とよぶこともできると思います。,explicit,原因・理由  
88,#1 胚の細胞数が550個ぐらいになると， #2 一部を除いて細胞の増殖がほとんど停止し， #3 かわって #4 細胞の分化が形態的にも顕著にわかるようになってきます。 #5 胚体の身長を伴って， #6 消化系，筋肉系，神経系などの，生殖系を除く組織や器官の形成が顕著になってきます。 #7 下皮からの分泌でクチクラも形成され， #8 虫の体形が整ってきます。 #9 こうして，20℃ではおよそ16時間後に，細胞総数558個（雌雄同体の線虫での数。雄の線虫では560個）で構成された，体長約250μm（ミクロン）のL1幼虫が卵から出てきます。 #10 孵化後の発生を後胚発生といい， #11 約10％の細胞がさらに分裂を続けて， #12 最終的に959個（雌雄同体の線虫での数。雄の線虫では1031個）の細胞（生殖細胞を除きます）をもつ成虫になります。,#11,約10％の細胞がさらに分裂を続けて，,#12,最終的に959個の細胞をもつ成虫になります。,implicit,原因・理由  
90,#1 ディアキネシス期でいったん分裂を停止して， #2 精子の侵入を待っていた卵母細胞は，貯精嚢で待ち受ける精子と融合し， #3 受精が成立します。 #4 受精すると #5 すぐ卵母細胞は，受精した位置と反対側で減数分裂を再開します。 #6 このとき， #7 受精した卵母細胞（受精卵）は貯精嚢から子宮へと細い通路を移動します。 #8 移動しながら，卵核胞がこわれて #9 視界から消え去り， #10 卵質（卵母細胞の細胞質）が激しく動きながら，第1・第2減数分裂に伴う2個の極体があいついで放出されます。 #11 こうしたできごととともに，受精卵のまわりには卵黄膜とその上層をおおう丈夫なキチン質からなる卵殻が形成されます。 #12 この卵殻は，溶質をほとんど通さないので， #13 いったん殻ができあがってしまうと， #14 受精卵は子宮外でも正常な発生を続けることができます。 #15 受精してから #16 数十分すると， #17 卵の両端に雌雄の前核が現われます。 #18 受精卵（受精から第1分裂までの受精卵をP0と書きます）の前方に位置する雌性前核は，後方の雄性前核へ移動して #19 対合します。 #20 対合した両前核は，少しずつ回転しながら中央部へ移動し， #21 中央部では90°回転した形で融合して， #22 いよいよ第1分裂に入ります。 #23 受精から第1分裂までは約40分です。,#12,この卵殻は，溶質をほとんど通さないので，,#13,いったん殻ができあがってしまうと，,explicit,原因・理由  
90,#1 ディアキネシス期でいったん分裂を停止して， #2 精子の侵入を待っていた卵母細胞は，貯精嚢で待ち受ける精子と融合し， #3 受精が成立します。 #4 受精すると #5 すぐ卵母細胞は，受精した位置と反対側で減数分裂を再開します。 #6 このとき， #7 受精した卵母細胞（受精卵）は貯精嚢から子宮へと細い通路を移動します。 #8 移動しながら，卵核胞がこわれて #9 視界から消え去り， #10 卵質（卵母細胞の細胞質）が激しく動きながら，第1・第2減数分裂に伴う2個の極体があいついで放出されます。 #11 こうしたできごととともに，受精卵のまわりには卵黄膜とその上層をおおう丈夫なキチン質からなる卵殻が形成されます。 #12 この卵殻は，溶質をほとんど通さないので， #13 いったん殻ができあがってしまうと， #14 受精卵は子宮外でも正常な発生を続けることができます。 #15 受精してから #16 数十分すると， #17 卵の両端に雌雄の前核が現われます。 #18 受精卵（受精から第1分裂までの受精卵をP0と書きます）の前方に位置する雌性前核は，後方の雄性前核へ移動して #19 対合します。 #20 対合した両前核は，少しずつ回転しながら中央部へ移動し， #21 中央部では90°回転した形で融合して， #22 いよいよ第1分裂に入ります。 #23 受精から第1分裂までは約40分です。,#12,この卵殻は，溶質をほとんど通さないので，,#14,受精卵は子宮外でも正常な発生を続けることができます。,explicit,原因・理由  
92,#1 動物の形づくりで最初に頭に浮かぶ疑問のひとつは，前後，背腹，左右という動物の基本体軸を，何がどのように決定しているかということです。 #2 いままでの観察から，前後軸は雌雄の前核が移動を開始する前に決まっていることがわかります。 #3 雄性前核は，精子の核をもつ前核ですから， #4 精子の侵入した側が軸の後方であることはまずまちがい #5 ありません。 #6 問題は，精子の侵入が引き金となって #7 前後軸が決定されるのか， #8 そうではなく前後軸の後方とあらかじめ決まっている場所に精子が侵入してくるのか， #9 この観察だけではわかりません。,#3,雄性前核は，精子の核をもつ前核ですから，,#4,精子の侵入した側が軸の後方であることはまずまちがい,explicit,原因・理由  
92,#1 動物の形づくりで最初に頭に浮かぶ疑問のひとつは，前後，背腹，左右という動物の基本体軸を，何がどのように決定しているかということです。 #2 いままでの観察から，前後軸は雌雄の前核が移動を開始する前に決まっていることがわかります。 #3 雄性前核は，精子の核をもつ前核ですから， #4 精子の侵入した側が軸の後方であることはまずまちがい #5 ありません。 #6 問題は，精子の侵入が引き金となって #7 前後軸が決定されるのか， #8 そうではなく前後軸の後方とあらかじめ決まっている場所に精子が侵入してくるのか， #9 この観察だけではわかりません。,#3,雄性前核は，精子の核をもつ前核ですから，,#5,ありません。,explicit,原因・理由  
94,#1 受精後に見られる極性の特徴として，微小線維（ミクロフィラメント）が前方に集中すること，生殖顆粒（G顆粒，P顆粒ともいいます）が後極に偏在すること，卵質が前後軸にそって流動することが報告されています（図2）。 #2 前後軸がつくられる詳しい分子機構はわかっていませんが， #3 微小線維の阻害剤であるサイトカラシンDを与えると #4 前後軸の形成が大きく乱されるので， #5 微小線維の主要素であるアクチンが前後軸決定の主役ではないかと考えられています。 #6 前後軸の形成を理解するには， #7 受精直後の減数分裂そのものを知る必要があるでしょう。,#4,前後軸の形成が大きく乱されるので，,#5,微小線維の主要素であるアクチンが前後軸決定の主役ではないかと考えられています。,explicit,原因・理由  
97,#1 多様な細胞系統をつくりだす素である不等分裂も，前後軸の形成と同じく，細胞内の物質がなんらかの理由によって偏った分布をするために #2 起きるはずです。 #3 ですから，物質の偏りが多様性の素の元ということになります。,#1,多様な細胞系統をつくりだす素である不等分裂も，前後軸の形成と同じく，細胞内の物質がなんらかの理由によって偏った分布をするために,#2,起きるはずです。,explicit,目的  
97,#1 多様な細胞系統をつくりだす素である不等分裂も，前後軸の形成と同じく，細胞内の物質がなんらかの理由によって偏った分布をするために #2 起きるはずです。 #3 ですから，物質の偏りが多様性の素の元ということになります。,#2,起きるはずです。,#3,ですから，物質の偏りが多様性の素の元ということになります。,explicit,原因・理由  
99,#1 1つの細胞が分裂して #2 2つの細胞になるところを実際に見てみると， #3 そのみごとさに圧倒されます。 #4 この分裂が胚発生の初期であれば， #5 なおさらです。 #6 とくに線虫では，受精直後から速やかで正確で， #7 しかも多彩な細胞分裂が見られますので， #8 研究者を魅了せずにはおきません。,#2,2つの細胞になるところを実際に見てみると，,#3,そのみごとさに圧倒されます。,explicit,目的  
99,#1 1つの細胞が分裂して #2 2つの細胞になるところを実際に見てみると， #3 そのみごとさに圧倒されます。 #4 この分裂が胚発生の初期であれば， #5 なおさらです。 #6 とくに線虫では，受精直後から速やかで正確で， #7 しかも多彩な細胞分裂が見られますので， #8 研究者を魅了せずにはおきません。,#7,しかも多彩な細胞分裂が見られますので，,#8,研究者を魅了せずにはおきません。,explicit,原因・理由  
100,#1 細胞の分裂面（分割面ともいいます）の方向や位置は，分裂後に生じる娘細胞の胚内での正しい位置を決めたり， #2 細胞質を適切に分配したりするのに #3 大きな役割を担っています。 #4 したがって，分裂面は動物のボディプランの実行にとって，とてもたいせつです。 #5 この分裂面を決めているのは，分裂装置（mitotic apparatus）の向きと位置であるといわれています（図4）。 #6 分裂装置の全体像はまだわかっていませんが， #7 その中枢となって #8 分裂装置の向きと位置を決めているのが，中心体です（光学顕微鏡で観察でき，実体の主要素が中心小体である細胞小器官です）。 #9 分裂装置の主要な分子が，微小管（microtubule，チューブリンが主体である会合体）であることはわかっていますが， #10 分裂時の詳しいはたらきについては今後の研究を待たなければなりません。,#3,大きな役割を担っています。,#4,したがって，分裂面は動物のボディプランの実行にとって，とてもたいせつです。,explicit,原因・理由  
100,#1 細胞の分裂面（分割面ともいいます）の方向や位置は，分裂後に生じる娘細胞の胚内での正しい位置を決めたり， #2 細胞質を適切に分配したりするのに #3 大きな役割を担っています。 #4 したがって，分裂面は動物のボディプランの実行にとって，とてもたいせつです。 #5 この分裂面を決めているのは，分裂装置（mitotic apparatus）の向きと位置であるといわれています（図4）。 #6 分裂装置の全体像はまだわかっていませんが， #7 その中枢となって #8 分裂装置の向きと位置を決めているのが，中心体です（光学顕微鏡で観察でき，実体の主要素が中心小体である細胞小器官です）。 #9 分裂装置の主要な分子が，微小管（microtubule，チューブリンが主体である会合体）であることはわかっていますが， #10 分裂時の詳しいはたらきについては今後の研究を待たなければなりません。,#2,細胞質を適切に分配したりするのに,#3,大きな役割を担っています。,implicit,目的  
101,#1 分裂面の決定を担う中心体は，精子によって卵子へもたらされるといわれています。 #2 線虫の受精卵（P0）では，中心体が雄性前核上で複製し #3 移動して， #4 前核をはさんで #5 P0の短径にそって対峙します。 #6 2つの中心体から微小管が伸びていきます。 #7 雌性前核が雄性前核に向かって #8 移動を開始し， #9 やがて両者は対合します。 #10 対合すると #11 中心体はまた移動をして， #12 両前核の対合面をはさんで向かいあいます。 #13 雌雄の前核は「対合ダンス」をしながら，受精卵中央部へ移動しはじめます。 #14 移動しながら対合核は2つの中心体もいっしょに回転し， #15 中央部で移動を終わったときにはちょうど90°回転した形になります。,#10,対合すると,#11,中心体はまた移動をして，,explicit,原因・理由  
101,#1 分裂面の決定を担う中心体は，精子によって卵子へもたらされるといわれています。 #2 線虫の受精卵（P0）では，中心体が雄性前核上で複製し #3 移動して， #4 前核をはさんで #5 P0の短径にそって対峙します。 #6 2つの中心体から微小管が伸びていきます。 #7 雌性前核が雄性前核に向かって #8 移動を開始し， #9 やがて両者は対合します。 #10 対合すると #11 中心体はまた移動をして， #12 両前核の対合面をはさんで向かいあいます。 #13 雌雄の前核は「対合ダンス」をしながら，受精卵中央部へ移動しはじめます。 #14 移動しながら対合核は2つの中心体もいっしょに回転し， #15 中央部で移動を終わったときにはちょうど90°回転した形になります。,#11,中心体はまた移動をして，,#12,両前核の対合面をはさんで向かいあいます。,implicit,原因・理由  
102,#1 ここでいよいよ両前核は融合し， #2 第1分裂に入ります。 #3 ところで，もし90°の回転がないまま第1分裂が起こると， #4 何が予想されるでしょうか。 #5 そうです，受精卵は短径を真っ二つに分ける2つの娘細胞を生じます。 #6 ところが実際は，対合前核も中心体も含む分裂装置が90°回転するため， #7 前後軸にそって分裂するのです。 #8 しかも，分裂装置がすこし後方に移動するため， #9 不等分裂になります。 #10 P系統の細胞は，P1，P2，P3 とも，分裂装置の軸がまず90°回転してから #11 分裂します。 #12 このため， #13 いつも長径にそった分裂になると考えられています（図5）。,#6,ところが実際は，対合前核も中心体も含む分裂装置が90°回転するため，,#7,前後軸にそって分裂するのです。,explicit,原因・理由  
102,#1 ここでいよいよ両前核は融合し， #2 第1分裂に入ります。 #3 ところで，もし90°の回転がないまま第1分裂が起こると， #4 何が予想されるでしょうか。 #5 そうです，受精卵は短径を真っ二つに分ける2つの娘細胞を生じます。 #6 ところが実際は，対合前核も中心体も含む分裂装置が90°回転するため， #7 前後軸にそって分裂するのです。 #8 しかも，分裂装置がすこし後方に移動するため， #9 不等分裂になります。 #10 P系統の細胞は，P1，P2，P3 とも，分裂装置の軸がまず90°回転してから #11 分裂します。 #12 このため， #13 いつも長径にそった分裂になると考えられています（図5）。,#8,しかも，分裂装置がすこし後方に移動するため，,#9,不等分裂になります。,explicit,原因・理由  
102,#1 ここでいよいよ両前核は融合し， #2 第1分裂に入ります。 #3 ところで，もし90°の回転がないまま第1分裂が起こると， #4 何が予想されるでしょうか。 #5 そうです，受精卵は短径を真っ二つに分ける2つの娘細胞を生じます。 #6 ところが実際は，対合前核も中心体も含む分裂装置が90°回転するため， #7 前後軸にそって分裂するのです。 #8 しかも，分裂装置がすこし後方に移動するため， #9 不等分裂になります。 #10 P系統の細胞は，P1，P2，P3 とも，分裂装置の軸がまず90°回転してから #11 分裂します。 #12 このため， #13 いつも長径にそった分裂になると考えられています（図5）。,#10,P系統の細胞は，P1，P2，P3 とも，分裂装置の軸がまず90°回転してから,#11,分裂します。,explicit,原因・理由  
103,#1 一方，それぞれの創始細胞は分裂後，分裂装置が90°回転しないで #2 そのまま次の分裂に入るので， #3 分裂面はたがいに直交する形になり， #4 しかも同系統ではほぼ同じ周期をもつ等分裂をくり返します。 #5 このような分裂で生じる同じ系統の細胞は，発生能も同等であるため， #6 細胞外からなんらかの情報を受けて #7 初めて，他の細胞と異なる特徴をもつようになる場合が少なくないようです。,#2,そのまま次の分裂に入るので，,#3,分裂面はたがいに直交する形になり，,explicit,原因・理由  
103,#1 一方，それぞれの創始細胞は分裂後，分裂装置が90°回転しないで #2 そのまま次の分裂に入るので， #3 分裂面はたがいに直交する形になり， #4 しかも同系統ではほぼ同じ周期をもつ等分裂をくり返します。 #5 このような分裂で生じる同じ系統の細胞は，発生能も同等であるため， #6 細胞外からなんらかの情報を受けて #7 初めて，他の細胞と異なる特徴をもつようになる場合が少なくないようです。,#2,そのまま次の分裂に入るので，,#4,しかも同系統ではほぼ同じ周期をもつ等分裂をくり返します。,explicit,原因・理由  
103,#1 一方，それぞれの創始細胞は分裂後，分裂装置が90°回転しないで #2 そのまま次の分裂に入るので， #3 分裂面はたがいに直交する形になり， #4 しかも同系統ではほぼ同じ周期をもつ等分裂をくり返します。 #5 このような分裂で生じる同じ系統の細胞は，発生能も同等であるため， #6 細胞外からなんらかの情報を受けて #7 初めて，他の細胞と異なる特徴をもつようになる場合が少なくないようです。,#5,このような分裂で生じる同じ系統の細胞は，発生能も同等であるため，,#6,細胞外からなんらかの情報を受けて,explicit,原因・理由  
103,#1 一方，それぞれの創始細胞は分裂後，分裂装置が90°回転しないで #2 そのまま次の分裂に入るので， #3 分裂面はたがいに直交する形になり， #4 しかも同系統ではほぼ同じ周期をもつ等分裂をくり返します。 #5 このような分裂で生じる同じ系統の細胞は，発生能も同等であるため， #6 細胞外からなんらかの情報を受けて #7 初めて，他の細胞と異なる特徴をもつようになる場合が少なくないようです。,#5,このような分裂で生じる同じ系統の細胞は，発生能も同等であるため，,#7,初めて，他の細胞と異なる特徴をもつようになる場合が少なくないようです。,explicit,原因・理由  
108,#1 さて，物質の偏りが不等分裂の原因であり， #2 多様性の素であるといいましたが， #3 ここに登場した突然変異胚はその後どうなるのでしょうか。 #4 異常な分裂面で分裂した胚は，たいていそのまま分裂を続け， #5 細胞の数を増やしていきます。 #6 これらの細胞を，特定の細胞にのみ特異的に反応する抗体を用いて染色し， #7 細胞の分化を調べてみると， #8 par−2，par−3変異胚のいずれも，腸の分化が不完全であるか， #9 まったく分化しません。 #10 これらの突然変異胚での分裂の特徴から，腸を形成する細胞そのものの欠如，あるいは腸を誘導する物質の欠如によって，腸細胞への分化誘導が起こらないためと考えられます。 #11 また，mes−1変異胚では，生殖細胞となるべきP4細胞が，その姉妹細胞であるD細胞と同じ筋肉組織をつくってしまいます。 #12 分裂面と物質の分配律はたがいに因となり #13 果となっているようですので， #14 この関係をはっきりさせることもだいじです。,#13,果となっているようですので，,#14,この関係をはっきりさせることもだいじです。,explicit,原因・理由  
110,#1 長いあいだ， #2 線虫の受精卵は，モザイク卵の典型として教科書に紹介されてきました。 #3 分裂で生じる個々の細胞の運命は，最初の分割から厳格に決まっていて， #4 その運命を変えることは何をどうしようと #5 できないという考え方です。 #6 これに対して， #7 分割がある程度 #8 進んだあとも限度はあるものの #9 細胞の運命を変えられる，いわゆる調節卵の代表が，カエル，イモリ，ウニの受精卵でした。 #10 1981年，受精卵の後方の卵質をほぼ20％除去してしまっても #11 正常な線虫が孵化してくる，というショッキングな報告が Science という科学誌に掲載されました。 #12 ちなみに，受精卵の後極の卵質20％というのは，将来，C，D，P4に分化していく部分をほとんどカバーする量です。 #13 受精のときに卵の部分部分の運命が決まっているモザイク卵であれば， #14 この部分で #15 しかもこれだけの量の卵質をなくしてしまったら， #16 正常に発生するとは考えられません。 #17 その後，この実験は追試されていませんが， #18 線虫の受精卵がモザイクであるという考えに疑問を投げかけるのに， #19 大きな影響を及ぼしました。 #20 たとえ，まちがいであっても #21 「ケガの功名」というわけです。,#15,しかもこれだけの量の卵質をなくしてしまったら，,#16,正常に発生するとは考えられません。,explicit,原因・理由  
110,#1 長いあいだ， #2 線虫の受精卵は，モザイク卵の典型として教科書に紹介されてきました。 #3 分裂で生じる個々の細胞の運命は，最初の分割から厳格に決まっていて， #4 その運命を変えることは何をどうしようと #5 できないという考え方です。 #6 これに対して， #7 分割がある程度 #8 進んだあとも限度はあるものの #9 細胞の運命を変えられる，いわゆる調節卵の代表が，カエル，イモリ，ウニの受精卵でした。 #10 1981年，受精卵の後方の卵質をほぼ20％除去してしまっても #11 正常な線虫が孵化してくる，というショッキングな報告が Science という科学誌に掲載されました。 #12 ちなみに，受精卵の後極の卵質20％というのは，将来，C，D，P4に分化していく部分をほとんどカバーする量です。 #13 受精のときに卵の部分部分の運命が決まっているモザイク卵であれば， #14 この部分で #15 しかもこれだけの量の卵質をなくしてしまったら， #16 正常に発生するとは考えられません。 #17 その後，この実験は追試されていませんが， #18 線虫の受精卵がモザイクであるという考えに疑問を投げかけるのに， #19 大きな影響を及ぼしました。 #20 たとえ，まちがいであっても #21 「ケガの功名」というわけです。,#18,線虫の受精卵がモザイクであるという考えに疑問を投げかけるのに，,#19,大きな影響を及ぼしました。,implicit,原因・理由  
112,#1 1980年代の初めまでは，この細胞の運命は不可逆的に決まっているものと思われていました。 #2 この常識をくつがえしたのは，プリース（J. Priess）という当時まだ大学院を出たばかりの若い研究者でした。 #3 ABp になるべき細胞を，ガラス製のマイクロピペットで移動方向と反対側に押しやって， #4 ABa になるべき細胞を後方に移動させたのです。 #5 すると，なんとABaが背側の細胞系譜を生み #6 だし，ABp が本来ならば ABa が生み出していくべき系譜をつくりだしたのです。 #7 まさに，背は腹に替えられたのです。 #8 科学は好奇心と悪戯心に満ちた人たちによって大きく発展するという格好の見本です。,#5,すると，なんとABaが背側の細胞系譜を生み,#6,だし，ABp が本来ならば ABa が生み出していくべき系譜をつくりだしたのです。,implicit,原因・理由  
118,#1 さて，左右軸を決めるきっかけは，6細胞期胚におけるAB細胞を祖母にもつ二組のいとこペアの位置関係です。 #2 ここでも背腹軸の場合と同じように，だれが，いつ，どこで右と左を決定しているかを調べるために， #3 レーザー熱線で細胞を焼き殺す実験が行われています。 #4 4から8細胞期胚で MS という細胞をレーザーで除去すると， #5 もともと左右がほぼ対称な ABp の子孫だけでなく，左右のいちじるしく非対称な ABa の子孫も，対称な系譜をもつようになります（ABa と ABp の系譜については図7を参照）。 #6 しかも，ABa から本来なら #7 分化するはずの咽頭筋も，ABp と同じように分化してきません。 #8 しかし，12細胞期でMS細胞を除去すると， #9 元来の非対称が生じて， #10 咽頭筋も分化してきます。 #11 すなわち，8から12細胞期までのあいだに胚の左右軸が決まること，この決定にはMS細胞からのシグナルが必要なことをうかがわせます。,#2,ここでも背腹軸の場合と同じように，だれが，いつ，どこで右と左を決定しているかを調べるために，,#3,レーザー熱線で細胞を焼き殺す実験が行われています。,explicit,目的  
118,#1 さて，左右軸を決めるきっかけは，6細胞期胚におけるAB細胞を祖母にもつ二組のいとこペアの位置関係です。 #2 ここでも背腹軸の場合と同じように，だれが，いつ，どこで右と左を決定しているかを調べるために， #3 レーザー熱線で細胞を焼き殺す実験が行われています。 #4 4から8細胞期胚で MS という細胞をレーザーで除去すると， #5 もともと左右がほぼ対称な ABp の子孫だけでなく，左右のいちじるしく非対称な ABa の子孫も，対称な系譜をもつようになります（ABa と ABp の系譜については図7を参照）。 #6 しかも，ABa から本来なら #7 分化するはずの咽頭筋も，ABp と同じように分化してきません。 #8 しかし，12細胞期でMS細胞を除去すると， #9 元来の非対称が生じて， #10 咽頭筋も分化してきます。 #11 すなわち，8から12細胞期までのあいだに胚の左右軸が決まること，この決定にはMS細胞からのシグナルが必要なことをうかがわせます。,#8,しかし，12細胞期でMS細胞を除去すると，,#9,元来の非対称が生じて，,explicit,原因・理由  
118,#1 さて，左右軸を決めるきっかけは，6細胞期胚におけるAB細胞を祖母にもつ二組のいとこペアの位置関係です。 #2 ここでも背腹軸の場合と同じように，だれが，いつ，どこで右と左を決定しているかを調べるために， #3 レーザー熱線で細胞を焼き殺す実験が行われています。 #4 4から8細胞期胚で MS という細胞をレーザーで除去すると， #5 もともと左右がほぼ対称な ABp の子孫だけでなく，左右のいちじるしく非対称な ABa の子孫も，対称な系譜をもつようになります（ABa と ABp の系譜については図7を参照）。 #6 しかも，ABa から本来なら #7 分化するはずの咽頭筋も，ABp と同じように分化してきません。 #8 しかし，12細胞期でMS細胞を除去すると， #9 元来の非対称が生じて， #10 咽頭筋も分化してきます。 #11 すなわち，8から12細胞期までのあいだに胚の左右軸が決まること，この決定にはMS細胞からのシグナルが必要なことをうかがわせます。,#9,元来の非対称が生じて，,#10,咽頭筋も分化してきます。,implicit,原因・理由  
132,#1 神経系を支配する法則を明らかにするために， #2 いろいろな材料が使われてきました。 #3 代表的な生物は，ヒゲカビ，ヒドラ，ヒル，アメフラシ，ショウジョウバエ，ネズミなどです。 #4 材料の条件としては，個々のニューロンを特定できること，ニューロンと行動の関係が明らかにできること，そして，ニューロンを制御する分子を明らかにできることが必要です。 #5 しかし，このような条件を満たす材料は限られています。 #6 線虫は，そうした条件を満たす数少ない材料のひとつです。 #7 線虫はわずか302個のニューロンで構成され， #8 すべてのニューロンを生きたまま同定することができます。 #9 さらに，行動とニューロンの対応がつき， #10 関与する遺伝子から分子を明らかにすることができるからです。,#1,神経系を支配する法則を明らかにするために，,#2,いろいろな材料が使われてきました。,explicit,目的  
132,#1 神経系を支配する法則を明らかにするために， #2 いろいろな材料が使われてきました。 #3 代表的な生物は，ヒゲカビ，ヒドラ，ヒル，アメフラシ，ショウジョウバエ，ネズミなどです。 #4 材料の条件としては，個々のニューロンを特定できること，ニューロンと行動の関係が明らかにできること，そして，ニューロンを制御する分子を明らかにできることが必要です。 #5 しかし，このような条件を満たす材料は限られています。 #6 線虫は，そうした条件を満たす数少ない材料のひとつです。 #7 線虫はわずか302個のニューロンで構成され， #8 すべてのニューロンを生きたまま同定することができます。 #9 さらに，行動とニューロンの対応がつき， #10 関与する遺伝子から分子を明らかにすることができるからです。,#9,さらに，行動とニューロンの対応がつき，,#10,関与する遺伝子から分子を明らかにすることができるからです。,explicit,原因・理由  
137,#1 ニューロンはじつに多様で， #2 形態，シナプス接合，伝達物質のちがいなどから，273種類に分類されます。 #3 全部で302個ですので， #4 それぞれが個性をもったニューロンであることがわかります。 #5 ニューロンが個性をもてる理由のひとつは，細胞の系譜にあります。 #6 腸管細胞など単一の創始細胞に由来するニューロンは，複数の創始細胞から派生します。 #7 また分裂様式も異なっていて， #8 クローン性ではなく #9 反復性です。 #10 クローン性では，単純な2分割によって2つの単一種の娘細胞が生じますが， #11 反復性では，親型とともに新しい型の娘細胞が生じます。,#3,全部で302個ですので，,#4,それぞれが個性をもったニューロンであることがわかります。,explicit,原因・理由  
140,#1 こうした発生段階には，多くの遺伝子がはたらいていることがわかってきました。 #2 lin−12遺伝子は，最初の段階すなわち外胚葉精細胞から神経芽細胞が生ずる段階にはたらきます。 #3 そのとき， #4 lin−12遺伝子は，自分自身を発現した細胞のみを神経細胞へ導き， #5 隣接する細胞が神経になるのを抑制していると思われます（図5）。 #6 多くの神経は単独ではなく， #7 ファシクリン・タンパク質のような特定物質を分泌しあって #8 束になります。 #9 突起の先端の成長円錐は，途中にあるラミニン・タンパク質などの案内物質を目印にして， #10 最終地点に到達します。 #11 もし，神経の突端が正確に案内物質を認識できないと， #12 神経突起がフラフラして #13 行き先が定まらなくなります。 #14 成長円錐が最終地点に達すると， #15 そこで形を変え， #16 シナプスを形成します。,#7,ファシクリン・タンパク質のような特定物質を分泌しあって,#8,束になります。,implicit,原因・理由  
140,#1 こうした発生段階には，多くの遺伝子がはたらいていることがわかってきました。 #2 lin−12遺伝子は，最初の段階すなわち外胚葉精細胞から神経芽細胞が生ずる段階にはたらきます。 #3 そのとき， #4 lin−12遺伝子は，自分自身を発現した細胞のみを神経細胞へ導き， #5 隣接する細胞が神経になるのを抑制していると思われます（図5）。 #6 多くの神経は単独ではなく， #7 ファシクリン・タンパク質のような特定物質を分泌しあって #8 束になります。 #9 突起の先端の成長円錐は，途中にあるラミニン・タンパク質などの案内物質を目印にして， #10 最終地点に到達します。 #11 もし，神経の突端が正確に案内物質を認識できないと， #12 神経突起がフラフラして #13 行き先が定まらなくなります。 #14 成長円錐が最終地点に達すると， #15 そこで形を変え， #16 シナプスを形成します。,#12,神経突起がフラフラして,#13,行き先が定まらなくなります。,implicit,原因・理由  
